id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,px_area,sc_area,price_range
1,842,0,2.2,0,1,0,7,0.6,188,2,2,2549,19,0,0,1,15120,63,1
2,1021,1,0.5,1,0,1,53,0.7,136,3,6,2631,7,1,1,0,1799140,51,2
3,563,1,0.5,1,2,1,41,0.9,145,5,6,2603,9,1,1,0,2167308,22,2
4,615,1,2.5,0,0,0,10,0.8,131,6,9,2769,11,1,0,0,2171776,128,2
5,1821,1,1.2,0,13,1,44,0.6,141,2,14,1411,15,1,1,0,1464096,16,1
6,1859,0,0.5,1,3,0,22,0.7,164,1,7,1067,10,1,0,0,1660616,17,1
7,1821,0,1.7,0,4,1,10,0.8,139,8,10,3220,18,1,0,1,387858,104,3
8,1954,0,0.5,1,0,0,24,0.8,187,4,0,700,5,1,1,1,588288,48,0
9,1445,1,0.5,0,0,0,53,0.7,174,7,14,1099,20,1,0,0,322696,17,0
10,509,1,0.6,1,2,1,9,0.1,93,5,15,513,12,1,0,0,1391688,190,0
11,769,1,2.9,1,0,0,9,0.1,182,5,1,3946,7,0,0,0,216752,10,3
12,1520,1,2.2,0,5,1,33,0.5,177,8,18,3826,13,1,1,1,151755,126,3
13,1815,0,2.8,0,2,0,33,0.6,159,4,17,1482,2,1,0,0,454036,0,1
14,803,1,2.1,0,7,0,17,1.0,198,4,11,2680,4,1,0,1,495360,7,2
15,1866,0,0.5,0,13,1,52,0.7,185,1,17,373,3,1,0,1,200428,126,0
16,775,0,1.0,0,3,0,46,0.7,159,2,16,568,11,1,1,1,1606768,255,0
17,838,0,0.5,0,1,1,13,0.1,196,8,4,3554,19,1,0,1,1820400,90,3
18,595,0,0.9,1,7,1,23,0.1,121,3,17,3752,18,1,1,0,357210,20,3
19,1131,1,0.5,1,11,0,49,0.6,101,5,18,1835,16,1,1,0,577724,247,1
20,682,1,0.5,0,4,0,19,1.0,121,4,11,2337,18,0,1,1,959728,11,1
21,772,0,1.1,1,12,0,39,0.8,81,7,14,2819,3,1,1,0,2436156,255,3
22,1709,1,2.1,0,1,0,13,1.0,156,2,2,3283,15,1,0,0,1348990,17,3
23,1949,0,2.6,1,4,0,47,0.3,199,4,7,1433,20,0,0,1,334554,55,1
24,1602,1,2.8,1,4,1,38,0.7,114,3,20,1037,20,1,0,0,367208,56,0
25,503,0,1.2,1,5,1,8,0.4,111,3,13,2583,12,1,0,0,250245,0,1
26,961,1,1.4,1,0,1,57,0.6,114,8,3,2782,7,1,1,1,417294,162,2
27,519,1,1.6,1,7,1,51,0.3,132,4,19,3763,4,1,0,1,354750,16,3
28,956,0,0.5,0,1,1,41,1.0,143,7,6,3286,12,1,1,0,549325,136,3
29,1453,0,1.6,1,12,1,52,0.3,96,2,18,2373,10,1,1,1,245157,10,2
30,851,0,0.5,0,3,0,21,0.4,200,5,7,478,10,1,0,1,1478973,84,0
31,1579,1,0.5,1,0,0,5,0.2,88,7,9,3532,12,0,0,1,2361562,187,3
32,1568,1,0.5,0,16,0,33,1.0,150,8,20,508,6,1,1,1,270102,5,0
33,1319,1,0.9,0,3,1,41,0.9,107,1,18,2227,3,1,1,1,97920,90,1
34,1310,1,2.2,1,0,1,51,0.6,100,4,0,3845,12,1,1,0,341582,0,3
35,644,1,2.7,0,0,0,22,0.7,157,8,3,1262,15,1,0,0,273991,12,0
36,725,0,1.3,1,16,0,60,0.4,160,8,17,1326,15,1,0,0,1416366,40,1
37,589,1,2.3,1,1,0,61,0.6,160,4,10,2113,2,1,0,1,349635,91,1
38,1725,1,1.6,1,6,1,6,0.5,119,2,18,3429,4,1,1,0,795963,30,3
39,790,0,2.0,1,16,1,11,0.3,87,6,17,3169,2,1,0,1,253310,6,2
40,560,0,0.5,1,15,0,50,0.3,159,2,20,2150,11,1,1,0,2335624,216,2
41,1347,0,2.9,0,5,0,44,0.6,132,1,14,2484,11,1,0,1,419678,36,2
42,1646,1,2.3,0,8,1,41,0.2,185,2,10,3339,19,1,1,0,3332700,180,3
43,1253,1,0.5,1,5,1,5,0.2,152,2,19,1878,4,1,1,0,489090,0,1
44,1656,0,1.0,0,5,1,34,0.1,166,3,7,1629,14,1,1,0,1281280,180,1
45,1195,1,2.8,0,1,1,20,0.8,110,2,14,504,12,1,1,0,2610160,27,0
46,1514,0,2.9,0,0,0,27,0.2,118,3,1,1152,20,0,1,1,336660,24,1
47,1723,1,1.1,1,1,0,42,1.0,164,8,14,3587,3,1,0,0,361782,50,3
48,1054,1,1.8,1,3,1,40,0.8,196,7,10,2296,12,1,0,1,20898,192,1
49,578,1,2.6,1,2,1,57,0.2,162,8,8,1270,5,1,0,1,1468825,45,0
50,596,0,2.1,1,9,0,64,0.8,111,8,15,3238,10,0,0,0,1640790,208,3
51,1547,1,3.0,1,2,1,14,0.7,198,3,19,2059,15,1,0,1,1908944,0,2
52,1760,0,1.4,1,5,0,63,0.8,127,8,19,2053,16,0,1,0,1911306,228,2
53,1654,1,1.5,1,0,1,43,0.3,109,2,0,3112,10,1,1,0,343434,60,3
54,1457,0,1.9,1,1,1,16,0.3,102,3,10,1440,12,1,0,1,1303731,136,1
55,1073,1,0.5,1,0,0,51,0.5,145,7,0,2908,18,0,1,0,554760,0,2
56,1936,0,2.1,1,10,1,46,0.6,104,3,20,2552,13,1,0,0,691012,98,2
57,823,1,2.7,1,13,0,60,0.5,148,8,19,905,17,1,1,1,1191078,154,0
58,987,0,1.3,1,0,1,61,0.4,107,3,9,3963,20,1,0,1,476420,36,3
59,1757,0,0.5,0,8,0,49,0.5,180,6,14,2056,4,0,0,0,188945,35,1
60,1063,0,1.4,1,2,1,48,1.0,128,5,4,2910,9,1,1,1,86741,195,2
61,1484,0,3.0,0,3,0,12,0.6,134,3,5,1457,20,1,1,0,887604,56,1
62,799,1,2.3,0,1,1,63,0.8,144,8,6,431,6,1,1,1,351975,90,0
63,1156,1,1.2,1,0,1,50,0.8,159,2,0,470,15,1,1,0,176134,0,0
64,1720,0,2.0,0,15,1,55,0.5,168,2,18,2148,5,1,1,1,1018809,28,2
65,702,0,2.6,1,2,1,9,0.7,141,3,3,2955,19,1,0,0,791280,40,2
66,616,0,1.9,1,13,1,44,0.8,81,3,17,3366,13,1,1,0,1053318,144,3
67,1358,1,0.5,0,11,1,36,0.3,155,4,14,3068,4,1,1,0,2907770,36,3
68,1866,0,1.4,0,0,0,30,0.5,182,3,0,3834,8,0,0,0,192348,176,3
69,1242,0,1.1,1,0,0,10,0.6,165,2,1,1050,4,1,0,1,562275,11,0
70,1166,0,1.5,1,0,1,43,0.8,80,4,1,3993,7,1,1,0,123615,7,3
71,1448,1,0.5,1,6,1,45,0.8,138,7,11,3378,2,1,1,1,982680,143,3
72,1407,1,2.4,0,1,1,22,0.7,104,4,4,2192,13,1,0,1,1426324,63,2
73,605,0,1.0,0,8,1,9,0.1,142,3,16,392,4,1,0,0,164160,90,0
74,1038,0,1.2,0,3,0,43,0.7,141,1,5,3709,12,1,1,1,2552,0,3
75,797,1,2.9,1,4,0,38,0.5,90,4,6,590,6,0,1,0,1078119,18,0
76,819,0,0.6,1,8,1,42,0.9,188,6,20,1814,13,1,0,1,421038,20,1
77,1114,0,2.8,0,4,1,9,0.4,197,3,15,907,17,1,1,0,1113840,70,0
78,1234,1,1.6,1,1,0,33,0.6,172,1,3,1449,6,0,0,1,129148,77,0
79,1199,1,2.5,1,15,1,16,0.2,116,4,20,3448,10,1,0,1,1812736,221,3
80,1103,0,1.0,1,6,0,29,0.7,111,6,8,1837,16,0,1,1,1471140,56,1
81,1589,1,0.6,1,0,1,58,0.9,85,7,7,3464,6,1,1,1,384714,190,3
82,999,0,2.9,1,11,1,64,0.2,199,4,19,2593,16,1,1,0,2257552,154,2
83,1510,1,0.9,1,2,0,45,0.9,180,5,3,3484,11,0,1,1,1240416,54,3
84,1008,0,0.8,0,11,0,61,1.0,114,3,15,2009,11,1,0,0,1208394,30,1
85,1127,1,2.9,1,5,1,57,0.8,163,1,13,2048,17,1,1,1,973472,55,1
86,1412,1,2.4,0,5,0,25,0.8,96,8,17,837,4,0,0,1,977304,135,1
87,1496,1,2.0,1,4,0,42,0.5,182,5,5,854,7,0,1,1,71136,0,0
88,1083,1,2.9,1,1,1,64,0.8,178,3,11,3210,4,1,0,0,1145950,39,3
89,668,0,0.5,1,0,0,3,0.1,155,5,13,2746,8,1,1,1,801198,45,2
90,1309,0,1.1,1,0,0,33,0.5,100,4,14,2334,11,1,0,1,780914,10,2
91,1724,0,2.0,1,2,1,57,0.5,177,3,5,2822,16,1,1,0,3088020,57,3
92,1977,1,2.0,1,7,1,54,1.0,171,7,18,1971,14,1,1,0,1522692,126,2
93,885,0,2.3,1,0,1,15,0.4,103,7,0,1410,5,1,1,1,616738,160,0
94,879,1,2.5,0,11,1,14,0.7,83,6,15,349,2,1,0,1,445315,160,0
95,1322,0,1.7,1,6,0,7,0.8,140,3,9,1418,12,0,1,0,352230,323,1
96,1137,1,1.0,0,18,0,7,1.0,196,3,19,3616,12,1,1,1,1110618,65,3
97,1355,0,2.3,0,10,1,23,0.2,132,5,16,880,8,1,1,0,580041,76,0
98,1665,1,0.5,0,3,1,60,0.2,194,6,18,1601,14,1,0,0,2647248,306,2
99,657,0,2.5,0,0,0,37,0.7,141,2,1,1412,18,0,1,0,457436,42,0
100,593,0,0.5,0,6,0,31,0.4,156,7,7,1692,7,1,0,0,1623861,12,1
101,1883,1,0.5,0,3,1,10,0.3,146,6,13,2600,20,1,0,0,1453804,128,3
102,1732,1,1.1,0,4,1,12,0.8,119,8,9,1308,11,1,0,1,725944,112,1
103,543,0,0.5,0,0,0,57,0.7,192,5,4,2413,15,1,0,0,384744,238,1
104,1939,1,2.8,1,0,1,55,0.6,199,4,10,1047,18,1,1,0,166400,140,0
105,553,0,2.4,1,1,1,8,0.5,121,7,3,1204,8,1,1,1,293150,44,0
106,832,0,0.7,1,2,1,39,0.7,103,4,3,1799,11,1,0,1,188000,10,1
107,1661,0,1.9,1,5,0,23,1.0,172,5,10,2676,11,0,1,1,1382364,72,3
108,1657,1,2.4,0,3,0,42,0.1,198,5,16,2597,14,1,0,0,3178920,18,3
109,1135,1,2.0,1,0,0,46,0.3,83,1,4,3029,9,1,1,1,540878,323,3
110,1775,1,1.5,0,3,0,41,0.1,163,1,7,2343,14,1,1,1,3052077,247,3
111,783,0,1.8,1,0,1,43,1.0,106,3,4,2016,18,1,1,0,1762258,64,1
112,617,1,2.3,0,0,0,32,0.5,199,7,20,2213,7,0,0,0,671232,234,1
113,867,0,1.4,1,0,1,4,0.7,135,6,1,790,3,1,1,0,138180,78,0
114,1310,1,1.1,1,13,0,7,1.0,194,5,14,3182,5,1,1,0,60021,32,2
115,1804,0,0.5,0,9,1,22,0.6,153,7,19,3472,20,1,0,1,1440552,9,3
116,1900,1,2.3,0,1,1,18,0.2,89,7,9,2871,13,1,1,1,1752355,12,3
117,909,1,1.4,0,0,0,53,0.3,82,8,0,3187,4,1,0,0,617855,108,2
